Consumo Médio de Combustível (km/l),Distância Percorrida (km),Preço do Combustível (R$/litro),Frequência de Abastecimentos por Semana,Custo_Total_Abastecimento,Fraude,Fraude_Numerica
5.52,301.82,5.55,9,303.46,Sim,0.5353483040921831
6.21,248.43,5.38,9,215.23,Sim,0.6807700938814782
5.87,326.9,4.8,5,267.31,Sim,0.7673997331405962
5.38,338.02,4.55,7,285.87,Sim,0.9981122465223192
6.02,339.49,5.25,6,296.07,Sim,0.7372667813112204
6.62,326.93,4.49,7,221.74,Sim,0.9080283785571618
4.53,334.41,5.81,6,428.9,Sim,0.7160336425333089
6.4,287.52,4.45,5,199.92,Sim,0.8981953613098544
4.5,256.24,5.64,7,321.15,Sim,0.7977074008100542
3.77,229.0,4.4,6,267.27,Sim,0.9432977207511992
4.6,170.18,4.06,6,150.2,Sim,0.705471276175055
2.81,291.46,4.74,8,491.64,Sim,0.8021522099107394
4.6,269.42,4.19,7,245.41,Sim,0.8150093403094136
3.64,228.82,4.53,7,284.77,Sim,0.7086914709002367
4.51,391.3,4.99,9,432.95,Sim,0.5721560218437407
3.92,353.45,5.15,8,464.35,Sim,0.5467797034561678
4.8,193.91,4.46,9,180.17,Sim,0.5083357752998166
4.84,299.93,5.59,5,346.41,Sim,0.9367671321226072
4.82,352.22,4.58,5,334.68,Sim,0.6182374561193473
4.49,280.0,5.51,8,343.61,Sim,0.6057533746408841
3.9,302.36,4.5,6,348.88,Sim,0.8680177002130327
5.26,354.07,4.25,7,286.08,Sim,0.6600080565436959
5.58,354.68,4.4,8,279.68,Sim,0.7530223462059182
6.55,319.35,4.83,8,235.49,Sim,0.5812555326487281
5.82,247.33,5.92,8,251.58,Sim,0.9798728607309846
4.5,231.42,4.23,8,217.53,Sim,0.9257907000086188
4.72,277.96,5.93,7,349.22,Sim,0.9318948114825016
5.83,389.02,4.52,9,301.61,Sim,0.7033868742860026
5.32,208.6,4.28,5,167.82,Sim,0.8811806068535863
6.5,330.93,5.41,6,275.44,Sim,0.5719380776948901
7.7,370.76,5.18,6,249.42,Sim,0.5043095012958901
6.85,265.51,4.63,9,179.46,Sim,0.5099864662890141
5.05,294.73,5.1,7,297.65,Sim,0.7933008687022802
3.65,352.05,4.49,9,433.07,Sim,0.7276974526239703
5.48,340.82,5.37,7,333.98,Sim,0.7590076744542599
3.01,404.35,4.0,9,537.34,Sim,0.5037315702086097
6.77,253.03,4.24,8,158.47,Sim,0.7113433098287129
4.8,334.06,5.38,7,374.43,Sim,0.8590340806004304
3.13,292.66,5.68,8,531.09,Sim,0.721346850983718
4.75,357.21,5.13,9,385.79,Sim,0.8661096031561111
4.9,323.48,4.34,6,286.51,Sim,0.6165094821984174
5.73,294.25,4.66,5,239.3,Sim,0.9065710022408628
6.45,336.42,5.56,8,290.0,Sim,0.7942156202267261
5.45,247.54,4.67,8,212.11,Sim,0.6053815497149531
3.81,270.11,4.38,5,310.52,Sim,0.6183602379269164
4.87,273.15,4.98,8,279.32,Sim,0.8140152322847685
3.21,279.93,5.76,7,502.3,Sim,0.9149697966062216
4.43,324.71,5.97,5,437.59,Sim,0.7078138910145776
2.81,247.72,4.98,7,439.02,Sim,0.6291502145637962
3.69,298.0,4.25,8,343.22,Sim,0.9335058034553002
3.23,317.56,4.04,6,397.2,Sim,0.8346341458754174
4.79,321.92,4.37,8,293.69,Sim,0.7240427436415382
4.24,324.04,4.2,5,320.98,Sim,0.7439500976396509
1.99,321.9,4.95,5,800.71,Sim,0.6021282339681981
5.01,315.38,4.09,8,257.47,Sim,0.813401315032422
7.16,311.22,4.75,5,206.47,Sim,0.6793712552714444
4.36,289.64,4.63,5,307.58,Sim,0.9978225883371746
7.13,352.66,4.29,9,212.19,Sim,0.7400917576309439
5.06,284.23,5.0,5,280.86,Sim,0.7429428030948066
2.63,366.96,5.41,7,754.85,Sim,0.7829258937053359
3.35,305.65,4.82,6,439.77,Sim,0.9583780015593734
4.92,222.83,4.37,9,197.92,Sim,0.9004090499298751
4.85,297.45,4.42,5,271.08,Sim,0.7255650348989207
2.85,247.05,4.91,9,425.62,Sim,0.859349632986398
7.06,313.34,4.19,8,185.96,Sim,0.7931177493903808
7.54,344.66,4.6,8,210.27,Sim,0.7461835243506245
3.28,374.84,5.69,8,650.26,Sim,0.5961578863921753
4.81,301.52,4.43,6,277.7,Sim,0.7319681317274455
3.71,411.94,5.2,8,577.38,Sim,0.6229092935112873
2.82,313.42,4.67,5,519.03,Sim,0.9574210749258274
6.12,338.4,5.24,6,289.74,Sim,0.6677034067481735
5.71,258.0,5.32,5,240.38,Sim,0.976132007266686
2.83,266.48,4.16,6,391.72,Sim,0.7665276450473556
2.03,311.97,5.57,9,856.0,Sim,0.8157721893380802
4.71,268.39,5.05,6,287.76,Sim,0.7714702222446639
4.81,438.96,5.05,6,460.86,Sim,0.5646903084833504
4.69,224.11,4.22,9,201.65,Sim,0.6879106095039704
3.68,288.68,4.07,5,319.27,Sim,0.5495730561388119
4.05,346.61,5.82,7,498.09,Sim,0.8114770220916909
5.63,333.56,5.05,8,299.2,Sim,0.7234370976002195
4.17,346.71,4.16,8,345.88,Sim,0.8889924857854684
5.35,344.3,4.87,7,313.41,Sim,0.6102352404996849
6.52,228.3,4.4,6,154.07,Sim,0.5822830292146675
5.49,332.12,5.3,6,320.63,Sim,0.7031661154818839
7.15,279.39,5.47,6,213.74,Sim,0.9632926916091906
5.21,331.62,4.61,5,293.43,Sim,0.8552109075062059
4.35,216.22,4.72,5,234.61,Sim,0.7094618123964593
3.04,262.92,5.31,8,459.25,Sim,0.7586360848771553
7.68,294.89,4.47,8,171.64,Sim,0.5421065055885492
3.06,335.55,5.09,9,558.15,Sim,0.9922879481880564
6.1,318.27,5.43,8,283.31,Sim,0.8332036523474595
6.59,340.26,4.94,5,255.07,Sim,0.6427020342317112
3.33,321.64,4.83,7,466.52,Sim,0.7929041971076222
5.17,350.08,5.35,6,362.27,Sim,0.554741183034497
3.82,264.99,4.79,5,332.28,Sim,0.9829183344037916
8.27,237.82,5.37,7,154.42,Sim,0.587392493941683
2.79,378.51,4.59,5,622.71,Sim,0.824015159027607
4.54,393.01,4.12,9,356.65,Sim,0.6227272312694652
7.01,255.84,5.47,9,199.64,Sim,0.8587806913242679
5.15,321.92,4.43,8,276.91,Sim,0.8884106836201405
5.67,236.7,5.27,7,220.0,Sim,0.8367098644557163
4.07,280.53,5.1,9,351.52,Sim,0.8072497301275963
7.94,379.41,5.32,8,254.21,Sim,0.9462345469760058
7.01,362.47,4.26,8,220.27,Sim,0.539313355494879
3.84,320.25,5.01,8,417.83,Sim,0.6654573828900976
4.97,410.14,4.45,8,367.23,Sim,0.624143739815423
7.5,302.51,4.13,6,166.58,Sim,0.9940069810327108
5.84,318.85,4.18,7,228.22,Sim,0.6946948898334367
4.19,280.81,4.91,8,329.06,Sim,0.8663063496201994
5.07,341.67,5.49,5,369.97,Sim,0.8423625819405023
6.37,307.16,4.02,6,193.84,Sim,0.6060406187386889
1.2,335.54,4.04,9,1129.65,Sim,0.6194988401057757
9.25,392.51,4.53,5,192.22,Sim,0.640642281776517
5.17,267.89,5.48,5,283.95,Sim,0.7055636391296896
3.37,324.41,5.83,7,561.22,Sim,0.6171625328252635
3.77,396.55,5.28,6,555.38,Sim,0.509825741373424
4.26,273.61,4.22,8,271.04,Sim,0.9396965284035976
4.33,279.26,4.0,5,257.98,Sim,0.982804915690442
5.3,345.34,5.34,9,347.95,Sim,0.670785193515784
5.26,340.68,5.78,6,374.36,Sim,0.6692534397127364
3.46,328.61,4.3,7,408.39,Sim,0.5035459063871854
4.88,250.81,5.03,6,258.52,Sim,0.840125344165187
8.96,327.37,5.39,5,196.93,Sim,0.9127199478743144
6.51,296.18,4.44,5,202.0,Sim,0.5733041501800016
5.09,398.18,4.94,7,386.45,Sim,0.5798331746835754
4.59,286.81,5.12,6,319.93,Sim,0.8950416249857189
3.61,173.83,4.56,7,219.57,Sim,0.8081453741770723
4.15,329.13,4.59,8,364.03,Sim,0.5224302788138585
6.18,246.97,5.03,7,201.01,Sim,0.8112734952311409
5.46,313.19,4.23,7,242.64,Sim,0.654458861421883
5.67,301.32,5.91,5,314.07,Sim,0.684362577735423
5.19,338.83,4.35,6,283.99,Sim,0.8848657091484401
4.52,162.91,4.98,9,179.49,Sim,0.9054675963363052
6.04,280.0,4.8,8,222.52,Sim,0.7001783134199153
5.1,251.27,5.75,9,283.29,Sim,0.9735764680031772
5.34,307.69,4.62,6,266.2,Sim,0.7032313589760362
4.64,232.72,5.76,7,288.89,Sim,0.885918017615055
5.95,387.47,5.05,6,328.86,Sim,0.7419386322821295
5.59,270.07,5.76,7,278.28,Sim,0.948766163261042
6.16,279.8,4.01,6,182.14,Sim,0.9538806218250891
5.08,310.47,4.75,9,290.3,Sim,0.543708403935542
2.19,319.98,4.33,7,632.65,Sim,0.9682466656551127
5.39,259.0,5.92,5,284.47,Sim,0.912767420760208
4.93,369.63,4.51,7,338.14,Sim,0.8956553571563335
6.73,335.97,4.24,9,211.67,Sim,0.6004556698427612
5.26,269.16,5.35,6,273.77,Sim,0.9025596043773324
5.98,333.54,4.35,5,242.63,Sim,0.9250663673425183
5.5,338.13,4.1,8,252.06,Sim,0.6445751672270754
6.01,344.7,4.77,7,273.58,Sim,0.9761300391811618
5.8,252.53,4.99,8,217.26,Sim,0.5249300731995821
6.43,302.63,4.05,6,190.61,Sim,0.5749546266235699
3.57,200.46,4.27,8,239.77,Sim,0.7687905690257572
5.08,371.47,5.95,5,435.09,Sim,0.7878962355611548
5.49,325.25,4.16,5,246.46,Sim,0.8225750416504517
4.64,352.26,5.63,9,427.42,Sim,0.5084845646577332
4.31,413.68,4.11,7,394.48,Sim,0.9801833873110652
3.96,332.99,5.43,9,456.6,Sim,0.522294046367072
2.31,304.64,4.79,5,631.7,Sim,0.5715309763617011
4.08,330.51,4.16,5,336.99,Sim,0.5070072587630285
4.95,256.16,5.46,6,282.55,Sim,0.7834292166470473
4.58,311.99,4.08,9,277.93,Sim,0.966133441960486
6.46,363.85,4.65,9,261.9,Sim,0.8329735830402321
5.24,284.84,5.56,5,302.23,Sim,0.9113287342402135
3.54,267.63,5.65,5,427.15,Sim,0.50664060172929
4.89,335.5,4.68,9,321.09,Sim,0.771007649239863
6.24,262.13,5.89,8,247.43,Sim,0.7297814887527609
3.81,323.29,4.14,8,351.29,Sim,0.7494839721103965
4.47,237.74,5.31,7,282.42,Sim,0.536106592667594
6.48,327.6,4.09,6,206.77,Sim,0.8422176805346537
7.1,345.34,4.53,9,220.34,Sim,0.7516102074293172
3.56,337.71,5.69,6,539.77,Sim,0.882574424930632
4.22,429.18,4.36,5,443.42,Sim,0.7426453170308577
4.19,352.3,5.27,5,443.11,Sim,0.574690818113216
8.94,295.99,5.84,2,193.35,Não,0.2593027816311288
11.02,306.62,4.4,1,122.43,Não,0.0689545448420664
4.67,404.66,5.11,1,442.79,Não,0.348957825341926
10.23,305.12,4.1,3,122.29,Não,0.2452464956276966
7.47,202.8,4.55,3,123.53,Não,0.0628815534227817
10.51,386.5,5.33,2,196.01,Não,0.3849352229924827
8.45,241.38,4.45,2,127.12,Não,0.2073461853341282
7.01,305.56,5.16,2,224.92,Não,0.029159380748662
6.36,221.55,4.02,1,140.04,Não,0.2507331617660269
8.96,248.5,4.4,3,122.03,Não,0.1012795628051241
9.78,335.28,4.34,1,148.78,Não,0.321477380750921
5.6,312.13,5.96,2,332.2,Não,0.3271288294264762
6.53,211.51,5.49,1,177.82,Não,0.3915789423418647
10.25,255.28,5.34,3,132.99,Não,0.2007478124098015
5.53,338.71,5.71,1,349.73,Não,0.1819827518910948
7.51,251.2,4.74,1,158.55,Não,0.3013902421785923
9.41,313.07,5.64,3,187.64,Não,0.0529882625367706
6.81,345.0,5.68,2,287.75,Não,0.2187662055172496
6.9,241.2,5.06,1,176.88,Não,0.2184990400523404
8.19,326.53,5.72,1,228.05,Não,0.0357892491241548
9.83,322.92,5.25,3,172.46,Não,0.1671936342027654
6.68,279.82,4.83,2,202.32,Não,0.3413139194268808
9.56,346.15,4.73,1,171.26,Não,0.3424614487978641
10.98,275.48,4.37,1,109.64,Não,0.0396950659678724
5.76,308.34,5.93,1,317.44,Não,0.0362883530991323
8.13,314.96,4.33,1,167.75,Não,0.1050781908007741
8.05,237.11,4.72,3,139.03,Não,0.3499064250215974
6.13,292.1,4.96,3,236.35,Não,0.0515610340293995
9.11,402.64,5.27,2,232.92,Não,0.2879987210509785
9.32,310.92,5.37,2,179.15,Não,0.0404662478452412
8.78,260.73,5.05,3,149.96,Não,0.2492551414991301
9.42,363.53,5.38,3,207.62,Não,0.1424269196476579
8.67,249.89,4.9,1,141.23,Não,0.3155655851863468
8.36,322.15,4.66,2,179.57,Não,0.0934761795301454
8.27,249.67,4.52,1,136.46,Não,0.2556807317559839
7.24,188.33,5.45,3,141.77,Não,0.0942730138303539
12.37,252.32,4.83,2,98.52,Não,0.2854641132448615
9.23,375.73,4.6,1,187.25,Não,0.3494712138242995
9.18,226.86,5.21,3,128.75,Não,0.050720719650704
7.47,282.1,4.54,2,171.45,Não,0.3466382754382014
7.8,321.43,4.4,3,181.32,Não,0.2374301017657192
6.56,243.99,4.67,3,173.69,Não,0.0508441963468095
7.96,308.55,4.13,1,160.09,Não,0.1710167421438848
10.9,221.61,5.82,1,118.33,Não,0.0643441173940391
6.75,248.47,5.84,1,214.97,Não,0.2801391555466278
9.12,291.75,4.66,3,149.07,Não,0.3035472537671799
9.97,316.83,4.58,2,145.54,Não,0.0423186081091195
9.39,349.91,4.05,3,150.92,Não,0.2024559410778577
6.61,249.68,5.55,3,209.64,Não,0.3258500224103668
9.47,303.12,5.4,1,172.85,Não,0.3744652166203986
7.13,361.82,5.72,3,290.27,Não,0.205407146696708
8.11,391.98,4.66,2,225.23,Não,0.3801116894445628
8.09,240.66,4.09,3,121.67,Não,0.2142755881824119
9.47,269.02,5.47,3,155.39,Não,0.1576761978399632
7.87,233.4,4.91,1,145.62,Não,0.3392812514211582
10.93,320.98,4.63,2,135.97,Não,0.1971930841832356
6.32,364.88,4.43,3,255.76,Não,0.1887610042258092
8.77,257.18,4.46,2,130.79,Não,0.1961249957639313
11.2,291.7,4.28,1,111.47,Não,0.3387140007478981
10.79,355.07,4.16,3,136.89,Não,0.3327766166752208
6.96,381.05,5.16,3,282.5,Não,0.1614079969760845
7.69,252.61,5.28,2,173.44,Não,0.13331994394821
6.87,336.98,4.87,1,238.88,Não,0.1967712096156517
6.49,357.04,5.99,1,329.53,Não,0.2291090038948436
8.15,292.56,5.21,2,187.02,Não,0.0953348842511987
7.74,351.21,5.08,3,230.51,Não,0.3175820338862363
10.37,378.15,5.06,1,184.52,Não,0.1945931062929691
8.03,358.52,4.76,2,212.52,Não,0.1336182193679838
6.81,290.08,4.43,3,188.7,Não,0.0427283971855962
8.02,291.49,5.89,3,214.07,Não,0.0955380641614427
6.17,323.24,5.46,1,286.04,Não,0.3797124687023935
7.08,303.03,5.56,3,237.97,Não,0.1220398747278106
9.64,311.59,5.63,2,181.98,Não,0.0675437157468141
9.34,286.81,4.46,2,136.96,Não,0.1842691166619973
8.3,311.81,5.89,2,221.27,Não,0.1228350973440994
8.0,292.77,5.96,3,218.11,Não,0.0140637001084776
7.93,333.02,5.89,1,247.35,Não,0.1292580869117669
9.24,294.74,5.85,1,186.6,Não,0.2176434495757874
7.21,278.89,5.03,1,194.57,Não,0.2206849488079867
7.35,241.44,5.65,3,185.6,Não,0.1426235684707555
6.56,369.5,5.96,2,335.7,Não,0.1789211025010402
4.54,317.66,5.57,2,389.73,Não,0.3862071672939066
7.54,333.01,5.69,2,251.3,Não,0.1509393908921246
8.4,303.98,4.82,1,174.43,Não,0.1032907253039931
7.79,279.82,4.22,3,151.58,Não,0.097386817626704
7.36,313.64,5.24,1,223.3,Não,0.1831058450816536
9.58,347.98,4.74,1,172.17,Não,0.3038080594867776
7.22,254.46,4.3,2,151.55,Não,0.0823952736753892
6.88,227.2,4.92,3,162.47,Não,0.2837184508563072
9.11,305.77,5.69,1,190.98,Não,0.0084599293397665
7.99,292.43,5.4,1,197.64,Não,0.1675731911935784
8.53,346.64,5.83,3,236.92,Não,0.3103460260811148
7.74,391.97,5.62,2,284.61,Não,0.1354931823097725
8.71,244.15,5.36,3,150.25,Não,0.2254948405781598
7.95,306.92,4.74,2,182.99,Não,0.0819916931303643
8.3,263.08,5.49,1,174.01,Não,0.2967981564504689
7.65,335.0,5.62,2,246.1,Não,0.0209116413075038
8.54,302.14,4.8,2,169.82,Não,0.3410170579502001
8.44,297.35,5.14,2,181.09,Não,0.0792785545686672
7.67,356.28,5.64,1,261.98,Não,0.3497592126833323
8.85,334.91,4.78,3,180.89,Não,0.1410116965202069
8.17,313.61,5.11,2,196.15,Não,0.2890734297897946
7.26,200.34,5.93,2,163.64,Não,0.1276901191144754
7.15,271.48,5.14,1,195.16,Não,0.362364668493859
7.91,257.14,4.34,3,141.09,Não,0.0506548502073497
6.35,324.2,4.51,2,230.26,Não,0.0714079157090394
10.08,335.91,5.85,3,194.95,Não,0.1972120500635209
8.68,333.09,5.2,1,199.55,Não,0.0327753756152584
8.68,349.67,5.53,3,222.77,Não,0.0783920738807047
9.09,182.47,5.81,2,116.63,Não,0.3775065528848058
7.4,327.17,5.87,1,259.53,Não,0.3905958644591549
6.94,316.29,4.01,1,182.76,Não,0.1505037317321688
5.5,286.8,5.65,2,294.62,Não,0.3693144084055743
9.81,285.84,4.69,1,136.66,Não,0.2179298702693727
7.68,295.5,4.43,1,170.45,Não,0.1078969863495068
7.54,297.73,4.6,2,181.64,Não,0.2809594884322394
6.67,288.57,5.77,1,249.63,Não,0.2635607226299429
6.95,328.48,4.63,3,218.83,Não,0.3956501276434934
7.44,342.34,4.46,2,205.22,Não,0.1060189149637133
7.73,330.46,5.19,3,221.87,Não,0.2688238010646941
9.92,226.34,5.96,3,135.99,Não,0.0208095020117787
7.13,300.42,5.81,1,244.8,Não,0.0454584154786877
7.0,217.11,5.9,3,182.99,Não,0.0015673499804373
5.91,234.96,4.58,2,182.08,Não,0.3997842724238692
7.62,360.35,5.77,1,272.86,Não,0.3209094788589911
7.63,206.99,5.94,2,161.14,Não,0.3146892058934163
9.23,151.77,4.15,3,68.24,Não,0.2038904301152719
6.37,326.83,5.26,3,269.88,Não,0.1200268331621759
10.52,281.58,4.83,2,129.28,Não,0.0605057137850703
8.53,378.16,4.02,2,178.22,Não,0.1138698955385854
10.12,319.89,5.92,3,187.13,Não,0.1503884887716556
7.34,243.99,4.85,2,161.22,Não,0.3025240387921176
7.74,344.79,4.86,1,216.5,Não,0.2158647155612609
6.95,270.26,5.26,1,204.54,Não,0.030993450622193
8.85,310.63,4.21,3,147.77,Não,0.0072116035835648
8.79,260.92,5.53,3,164.15,Não,0.0409328718136252
8.1,316.93,4.57,2,178.81,Não,0.1641994854789517
7.04,251.93,4.45,2,159.25,Não,0.3732771668196073
7.56,317.26,4.93,3,206.89,Não,0.2549609924836886
6.1,237.98,4.62,2,180.24,Não,0.320730359950206
8.24,370.07,5.25,1,235.78,Não,0.1865498378018194
7.57,334.82,5.5,2,243.26,Não,0.1446664332780171
7.62,353.96,4.44,3,206.24,Não,0.043360149086649
9.59,324.36,5.81,2,196.51,Não,0.350373208874482
7.84,353.84,4.8,2,216.64,Não,0.3132640116111611
5.19,314.91,4.71,3,285.79,Não,0.06724723903909
7.91,288.0,4.76,1,173.31,Não,0.2049042255505042
9.44,295.64,5.1,3,159.72,Não,0.1949499231684979
9.65,281.55,5.01,2,146.17,Não,0.2500366210746114
7.87,257.75,5.71,1,187.01,Não,0.3784747575965045
9.34,291.75,5.91,1,184.61,Não,0.2319085767049918
7.3,273.95,4.34,3,162.87,Não,0.2160869067114474
7.93,316.24,4.41,1,175.87,Não,0.0201291731738655
8.34,284.93,5.71,3,195.08,Não,0.0251629904072095
6.53,296.37,4.21,2,191.07,Não,0.0749387165307155
7.84,299.98,4.0,3,153.05,Não,0.0129883086766993
9.57,335.04,4.05,2,141.79,Não,0.2973411582280049
10.17,283.62,4.66,2,129.96,Não,0.2893321215975852
9.6,256.01,5.29,3,141.07,Não,0.0544224937726571
7.01,295.68,4.97,1,209.63,Não,0.3344315603181124
6.5,334.56,5.97,2,307.28,Não,0.0619144139384447
8.39,318.71,5.26,2,199.81,Não,0.1204702347989435
8.63,341.88,4.14,3,164.01,Não,0.099590759664546
10.03,284.34,4.5,3,127.57,Não,0.1489228394292191
8.08,314.92,5.05,3,196.82,Não,0.1018655063559847
10.06,377.03,5.43,3,203.51,Não,0.1955803705753808
7.23,330.27,4.3,1,196.43,Não,0.1629631525418741
8.4,280.21,5.69,1,189.81,Não,0.3946277963117306
8.06,367.2,4.93,1,224.6,Não,0.0223705400512902
4.97,262.01,5.4,2,284.68,Não,0.0568725505549406
8.23,226.37,4.85,3,133.4,Não,0.0211303575634409
8.49,313.91,5.98,2,221.11,Não,0.2503364779929503
8.7,247.26,5.07,3,144.09,Não,0.0218037109654878
7.76,295.02,5.95,1,226.21,Não,0.3345758949504493
6.09,306.7,4.19,2,211.01,Não,0.2047754522727711
9.58,292.08,5.66,2,172.57,Não,0.2108030498326135
4.6,283.72,5.88,3,362.67,Não,0.2246378030848776
9.49,259.66,5.94,2,162.53,Não,0.0683254825224843
7.55,337.14,4.74,1,211.66,Não,0.079076121245795
8.99,238.53,5.42,1,143.81,Não,0.1275269291492018
8.54,329.73,4.92,1,189.96,Não,0.2373985663287405
7.32,323.87,4.83,1,213.7,Não,0.0840471103760858
8.3,286.11,4.91,1,169.25,Não,0.0465326908533045
8.49,351.78,5.31,3,220.02,Não,0.3880467545673729
6.51,224.83,5.18,2,178.9,Não,0.0087927259238491
6.99,322.87,4.51,2,208.32,Não,0.3210789621344087
7.6,302.09,5.13,2,203.91,Não,0.3152140598300088
5.75,352.06,4.79,2,293.28,Não,0.1188856455380384
7.13,368.38,5.86,2,302.76,Não,0.0542506464029253
10.36,189.69,5.17,3,94.66,Não,0.0582514586821693
9.96,340.9,5.02,3,171.82,Não,0.278972646894877
6.75,294.79,5.65,1,246.75,Não,0.2571226364344695
8.6,323.23,4.6,3,172.89,Não,0.3130982697005547
6.35,271.8,4.32,1,184.91,Não,0.3749924689596419
6.84,231.49,5.58,1,188.85,Não,0.2767709453066368
7.96,292.3,5.59,1,205.27,Não,0.0623406146205773
7.17,238.83,5.28,1,175.87,Não,0.0973770467061642
7.22,366.8,5.73,3,291.1,Não,0.3368774923492458
7.08,332.95,4.2,1,197.51,Não,0.0837224303336834
9.09,302.94,4.89,2,162.97,Não,0.0290089267817925
7.54,338.26,4.68,2,209.95,Não,0.2813120216169002
8.76,202.66,5.62,3,130.02,Não,0.1610105421960568
10.29,248.09,5.88,1,141.77,Não,0.3680160210183614
8.67,308.89,5.44,1,193.81,Não,0.2601020284374646
8.0,273.26,5.77,3,197.09,Não,0.0361675911166643
7.06,312.64,5.26,3,232.93,Não,0.3791426269014643
7.42,271.78,5.4,1,197.79,Não,0.1034229054560983
9.18,300.52,5.05,1,165.32,Não,0.1348849961625143
7.55,387.59,5.16,2,264.9,Não,0.1609041654734168
6.08,312.01,5.55,1,284.81,Não,0.0204897185617253
9.59,260.53,4.67,2,126.87,Não,0.1986061688922419
8.01,296.09,4.34,1,160.43,Não,0.0493273964301169
7.48,333.6,4.99,1,222.55,Não,0.1603881306753407
7.15,259.97,5.79,2,210.52,Não,0.1402839151968337
5.77,323.95,5.38,1,302.05,Não,0.3091360333706013
5.41,317.82,4.34,2,254.96,Não,0.3212682046530924
8.0,273.79,4.09,1,139.98,Não,0.0613651529556352
8.82,347.93,4.89,3,192.9,Não,0.1466204749516904
6.06,353.32,4.47,3,260.62,Não,0.1493412644127326
9.43,250.53,5.91,2,157.01,Não,0.060564177574434
7.48,278.73,4.64,2,172.9,Não,0.3193814020204762
9.07,335.22,5.05,3,186.64,Não,0.2828913313341693
7.74,253.07,5.94,3,194.22,Não,0.0761527145188138
8.15,337.65,5.59,1,231.59,Não,0.1466887634375196
9.92,267.89,5.62,2,151.77,Não,0.0423220099426056
7.1,349.5,4.02,3,197.89,Não,0.2512826388372176
10.57,313.64,5.96,1,176.85,Não,0.0485487698194478
8.86,353.39,5.55,2,221.37,Não,0.3943736674499671
9.82,271.15,4.54,2,125.36,Não,0.3122728298751449
6.37,236.13,4.5,1,166.81,Não,0.156095419833598
9.02,278.66,5.17,3,159.72,Não,0.2314255729117418
8.55,284.94,4.39,2,146.3,Não,0.3645367264865635
7.18,278.74,5.69,1,220.9,Não,0.2216397121583304
6.11,318.68,4.45,3,232.1,Não,0.069799394559182
8.89,353.32,4.45,1,176.86,Não,0.1514813422324637
11.39,339.64,4.29,3,127.92,Não,0.3372579460118982
10.55,289.77,5.77,1,158.48,Não,0.2576852063958472
8.61,325.79,5.27,2,199.41,Não,0.2602897537335201
7.01,335.86,4.54,1,217.52,Não,0.3467285942753957
9.93,274.56,5.5,1,152.07,Não,0.3575892229850019
5.95,284.36,5.95,1,284.36,Não,0.3679170287117745
8.73,277.25,5.95,2,188.96,Não,0.0379396773012624
7.81,291.78,4.61,1,172.23,Não,0.2176504007852403
7.2,273.43,5.7,3,216.47,Não,0.2962038084873274
9.17,396.1,5.01,3,216.41,Não,0.3027707380508055
10.48,302.42,4.11,2,118.6,Não,0.2426864807880015
8.69,302.98,5.95,1,207.45,Não,0.0667149340734696
7.02,291.65,4.38,3,181.97,Não,0.3189682215766657
5.75,291.01,4.92,2,249.0,Não,0.2880445334059783
11.18,184.61,4.92,3,81.24,Não,0.0344543086196145
5.72,259.37,5.2,1,235.79,Não,0.1855239298697505
9.44,274.18,4.71,1,136.8,Não,0.0695909598087214
7.5,359.73,4.53,3,217.28,Não,0.1349908182851887
7.7,369.55,5.57,1,267.32,Não,0.0072324368822741
8.17,370.03,4.66,3,211.06,Não,0.1601319473643033
9.2,298.11,4.95,3,160.4,Não,0.2199507684624841
7.66,234.37,5.17,3,158.18,Não,0.2478330371308347
6.66,248.37,4.02,2,149.92,Não,0.265396138051484
10.83,292.38,5.04,1,136.07,Não,0.334516525240984
7.29,365.59,5.6,2,280.84,Não,0.086185162910292
7.89,340.51,4.82,3,208.02,Não,0.0481927289753871
5.79,370.45,5.45,2,348.7,Não,0.3406148687591703
7.87,217.42,4.76,3,131.5,Não,0.0626451259570599
6.98,204.58,4.39,2,128.67,Não,0.3899040325344781
9.03,328.88,4.56,1,166.08,Não,0.3370152917594548
9.25,267.24,5.45,3,157.45,Não,0.2003506423558396
8.99,262.39,4.52,3,131.92,Não,0.3925685699688101
8.58,307.24,5.15,2,184.42,Não,0.0389506916432016
8.55,357.84,5.23,1,218.89,Não,0.1212263044700406
7.13,289.06,4.25,1,172.3,Não,0.2552897660162446
9.8,243.39,4.77,3,118.47,Não,0.1400027473892715
8.71,254.93,4.62,3,135.22,Não,0.3713490207923167
8.79,253.32,5.51,3,158.79,Não,0.026250435271127
6.31,327.25,4.32,1,224.04,Não,0.2197647328243858
6.9,291.21,5.04,1,212.71,Não,0.2363465069580458
7.91,315.34,5.22,1,208.1,Não,0.2610912495108896
6.77,300.26,4.28,1,189.82,Não,0.1022664893327257
5.48,282.21,5.85,3,301.26,Não,0.1458265710079458
7.11,218.87,5.54,1,170.54,Não,0.3374722118659911
8.32,216.92,5.89,1,153.56,Não,0.0779771075880639
8.17,320.9,5.28,3,207.39,Não,0.3307471388693448
7.5,355.09,4.32,3,204.53,Não,0.2250621691610969
7.98,325.86,4.64,2,189.47,Não,0.3048750044776329
10.32,461.88,4.12,3,184.39,Não,0.2854429465053886
9.24,322.48,4.59,3,160.19,Não,0.0830045981539516
8.07,355.12,5.75,3,253.03,Não,0.2275250945735491
